datetime,open,high,low,close,volume
20250303 00:00,,,,,0
20250304 00:00,,,,,0
20250305 00:00,,,,,0
20250306 00:00,,,,,0
20250307 00:00,,,,,0
20250310 00:00,,,,,0
20250311 00:00,,,,,0
20250312 00:00,,,,,0
20250313 00:00,,,,,0
20250314 00:00,,,,,0
20250317 00:00,,,,,0
20250318 00:00,,,,,0
20250319 00:00,,,,,0
20250320 00:00,,,,,0
20250321 00:00,,,,,0
20250324 00:00,,,,,0
20250325 00:00,,,,,0
20250326 00:00,,,,,0
20250327 00:00,,,,,0
20250328 00:00,,,,,0
20250331 00:00,,,,,0
20250401 00:00,,,,,0
20250402 00:00,,,,,0
20250403 00:00,,,,,0
20250404 00:00,,,,,0
20250407 00:00,,,,,0
20250408 00:00,,,,,0
20250409 00:00,,,,,0
20250410 00:00,,,,,0
20250411 00:00,,,,,0
20250414 00:00,,,,,0
20250415 00:00,,,,,0
20250416 00:00,,,,,0
20250417 00:00,,,,,0
20250421 00:00,,,,,0
20250422 00:00,,,,,0
20250423 00:00,,,,,0
20250424 00:00,,,,,0
20250425 00:00,,,,,0
20250428 00:00,,,,,0
20250429 00:00,,,,,0
20250430 00:00,,,,,0
20250501 00:00,,,,,0
20250502 00:00,,,,,0
20250505 00:00,,,,,0
20250506 00:00,,,,,0
20250507 00:00,,,,,0
20250508 00:00,,,,,0
20250509 00:00,,,,,0
20250512 00:00,,,,,0
20250513 00:00,,,,,0
20250514 00:00,,,,,0
20250515 00:00,,,,,0
20250516 00:00,,,,,0
20250519 00:00,,,,,0
20250520 00:00,,,,,0
20250521 00:00,,,,,0
20250522 00:00,,,,,0
20250523 00:00,,,,,0
20250527 00:00,,,,,0
20250528 00:00,,,,,0
20250529 00:00,,,,,0
20250530 00:00,,,,,0
20250602 00:00,,,,,0
20250603 00:00,,,,,0
20250604 00:00,,,,,0
20250605 00:00,,,,,0
20250606 00:00,,,,,0
20250609 00:00,,,,,0
20250610 00:00,,,,,0
20250611 00:00,,,,,0
20250612 00:00,,,,,0
20250613 00:00,,,,,0
20250616 00:00,,,,,0
20250617 00:00,,,,,0
20250618 00:00,,,,,0
20250620 00:00,,,,,0
20250623 00:00,,,,,0
20250624 00:00,,,,,0
20250625 00:00,,,,,0
20250626 00:00,,,,,0
20250627 00:00,,,,,0
20250630 00:00,,,,,0
20250701 00:00,,,,,0
20250702 00:00,,,,,0
20250703 00:00,,,,,0
20250707 00:00,,,,,0
20250708 00:00,,,,,0
20250709 00:00,,,,,0
20250710 00:00,,,,,0
20250711 00:00,,,,,0
20250714 00:00,,,,,0
20250715 00:00,,,,,0
20250716 00:00,,,,,0
20250717 00:00,,,,,0
20250718 00:00,,,,,0
20250721 00:00,,,,,0
20250722 00:00,,,,,0
20250723 00:00,,,,,0
20250724 00:00,,,,,0
20250725 00:00,,,,,0
20250728 00:00,,,,,0
20250729 00:00,,,,,0
20250730 00:00,,,,,0
20250731 00:00,,,,,0
20250801 00:00,,,,,0
20250804 00:00,,,,,0
20250805 00:00,,,,,0
20250806 00:00,,,,,0
20250807 00:00,,,,,0
20250808 00:00,,,,,0
20250811 00:00,,,,,0
20250812 00:00,,,,,0
20250813 00:00,,,,,0
20250814 00:00,,,,,0
20250815 00:00,,,,,0
20250818 00:00,,,,,0
20250819 00:00,,,,,0
20250820 00:00,,,,,0
20250821 00:00,,,,,0
20250822 00:00,,,,,0
20250825 00:00,,,,,0
20250826 00:00,,,,,0
20250827 00:00,,,,,0
20250828 00:00,,,,,0
20250829 00:00,,,,,0
20250902 00:00,,,,,0
20250903 00:00,,,,,0
20250904 00:00,,,,,0
20250905 00:00,,,,,0
20250908 00:00,,,,,0
20250909 00:00,,,,,0
20250910 00:00,,,,,0
20250911 00:00,,,,,0
20250912 00:00,,,,,0
20250915 00:00,,,,,0
20250916 00:00,,,,,0
20250917 00:00,,,,,0
20250918 00:00,,,,,0
20250919 00:00,,,,,0
20250922 00:00,,,,,0
20250923 00:00,,,,,0
20250924 00:00,,,,,0
20250925 00:00,,,,,0
20250926 00:00,,,,,0
20250929 00:00,,,,,0
20250930 00:00,,,,,0
20251001 00:00,,,,,0
20251002 00:00,,,,,0
20251003 00:00,,,,,0
20251006 00:00,,,,,0
20251007 00:00,,,,,0
20251008 00:00,,,,,0
20251009 00:00,,,,,0
20251010 00:00,,,,,0
20251013 00:00,,,,,0
20251014 00:00,,,,,0
20251015 00:00,,,,,0
20251016 00:00,,,,,0
20251017 00:00,,,,,0
20251020 00:00,,,,,0
20251021 00:00,,,,,0
20251022 00:00,,,,,0
20251023 00:00,,,,,0
20251024 00:00,,,,,0
